iter	Logloss
0	0.6909807829
1	0.6886228939
2	0.6866862906
3	0.6846130424
4	0.6826729606
5	0.6809339145
6	0.6791865789
7	0.6773440466
8	0.675652526
9	0.6739839001
10	0.6724356648
11	0.6711294082
12	0.6696622749
13	0.6681904988
14	0.6668618248
15	0.6655015414
16	0.664361791
17	0.6629197604
18	0.6617018593
19	0.6606329258
20	0.6595227181
21	0.6583508529
22	0.6574701662
23	0.6565054032
24	0.6555485563
25	0.654419562
26	0.653411752
27	0.6524966432
28	0.6515366085
29	0.6507076615
30	0.6498790891
31	0.6489963423
32	0.6481937307
33	0.6473881595
34	0.6467196159
35	0.6459856473
36	0.6453046277
37	0.6445319961
38	0.6437670018
39	0.6431576135
40	0.6424017976
41	0.6417037958
42	0.6410747433
43	0.6404843012
44	0.6397507397
45	0.6391956749
46	0.6386258595
47	0.6380254324
48	0.6373434268
49	0.6367174763
50	0.6361500037
51	0.635705365
52	0.635231212
53	0.6347124918
54	0.6342520859
55	0.6337793405
56	0.6332503598
57	0.6328591111
58	0.6322220924
59	0.6318189861
60	0.6314625925
61	0.6310679122
62	0.6306648669
63	0.6301982473
64	0.6298568319
65	0.6294847381
66	0.6289933804
67	0.6285881291
68	0.6281721028
69	0.6277512055
70	0.6273465063
71	0.6269812027
72	0.6266184668
73	0.6263125598
74	0.6259840566
75	0.6256207454
76	0.6251803795
77	0.6248594102
78	0.6244556817
79	0.624014844
80	0.6236847756
81	0.6231669898
82	0.6227211736
83	0.6224522195
84	0.6221370153
85	0.6218304186
86	0.6215375532
87	0.6212489892
88	0.6209719878
89	0.6207541088
90	0.6203810737
91	0.6200969493
92	0.6198971298
93	0.6196266311
94	0.6193200569
95	0.6189786409
96	0.6188180059
97	0.6185782702
98	0.6183809547
99	0.6181703537
100	0.6179707278
101	0.617708434
102	0.6174543075
103	0.6171893788
104	0.6169215719
105	0.6166511324
106	0.6163042089
107	0.6160401055
108	0.6157519653
109	0.6155745144
110	0.6152866543
111	0.6150984337
112	0.6148370047
113	0.6146287477
114	0.6143605398
115	0.6141008702
116	0.613868896
117	0.6135640551
118	0.613351329
119	0.6130359893
120	0.6128106558
121	0.6125610994
122	0.6123535638
123	0.6121316419
124	0.6118854387
125	0.6116113895
126	0.6113423211
127	0.6111307681
128	0.6109489127
129	0.6107067173
130	0.6105199479
131	0.61029555
132	0.6100508898
133	0.6098793512
134	0.6097558654
135	0.6095474547
136	0.6094264144
137	0.6091918764
138	0.6089070875
139	0.6086487363
140	0.6084872643
141	0.6083094175
142	0.6081117539
143	0.607890839
144	0.6076403452
145	0.6074732541
146	0.6073248081
147	0.6071274299
148	0.60683558
149	0.6065819325
150	0.6063575099
151	0.6061731738
152	0.6060077472
153	0.6058560985
154	0.6057046471
155	0.6055343718
156	0.6053400639
157	0.6051518059
158	0.6048981241
159	0.6047173096
160	0.6045927092
161	0.6043959549
162	0.6042205669
163	0.6040697545
164	0.6039053139
165	0.6037337956
166	0.6035450824
167	0.6033454415
168	0.6032352335
169	0.6030861417
170	0.6029232998
171	0.6027636288
172	0.602625366
173	0.6024388042
174	0.6022494793
175	0.6020563458
176	0.6018909348
177	0.6017512203
178	0.6016454732
179	0.6015567464
180	0.6013797741
181	0.6012979304
182	0.6011417101
183	0.6008804654
184	0.6007110472
185	0.6005691003
186	0.6003941383
187	0.6002122418
188	0.600075089
189	0.5998976019
190	0.5997424138
191	0.5995446758
192	0.5993980989
193	0.5992354762
194	0.5991469092
195	0.5989606453
196	0.5988222035
197	0.5986387048
198	0.5984392658
199	0.5983153326
200	0.598177722
201	0.5980456826
202	0.5978716488
203	0.5977575093
204	0.5976178889
205	0.5975035454
206	0.597384308
207	0.5972442318
208	0.5971510259
209	0.5970812302
210	0.5969598206
211	0.5968623495
212	0.5967008832
213	0.5965240263
214	0.5964106916
215	0.5962505113
216	0.5960937317
217	0.5959123767
218	0.5958092354
219	0.5956425894
220	0.5955106464
221	0.5953482005
222	0.5952082521
223	0.5950804139
224	0.5949082965
225	0.5947587754
226	0.5946338545
227	0.5944952639
228	0.5943721964
229	0.594301716
230	0.5941439831
231	0.5940388863
232	0.5939649514
233	0.5938447741
234	0.5937401826
235	0.5936195547
236	0.5934625618
237	0.5933084906
238	0.5931097285
239	0.5929966678
240	0.5929097253
241	0.5928060198
242	0.5926910392
243	0.5926031632
244	0.5925051417
245	0.5924204571
246	0.5923085461
247	0.5921889142
248	0.5920616857
249	0.5919141083
250	0.5917826282
251	0.591641335
252	0.5915094432
253	0.5913934019
254	0.5912905257
255	0.5911559289
256	0.5909621541
257	0.5908343799
