iter	Passed	Remaining
0	6	6503
1	12	6213
2	18	5808
3	23	5591
4	28	5486
5	33	5309
6	36	5078
7	41	4988
8	47	5049
9	51	4974
10	56	4891
11	60	4822
12	63	4700
13	68	4657
14	72	4606
15	76	4573
16	81	4554
17	85	4521
18	89	4495
19	94	4465
20	98	4437
21	102	4407
22	106	4384
23	110	4367
24	115	4348
25	119	4326
26	123	4309
27	127	4290
28	131	4274
29	136	4262
30	140	4248
31	144	4233
32	148	4222
33	153	4209
34	157	4197
35	161	4185
36	165	4179
37	170	4177
38	175	4176
39	179	4169
40	183	4145
41	187	4136
42	191	4131
43	196	4125
44	200	4119
45	204	4111
46	209	4102
47	213	4100
48	218	4093
49	222	4089
50	226	4082
51	231	4074
52	235	4070
53	240	4067
54	244	4061
55	248	4058
56	253	4048
57	257	4040
58	261	4036
59	266	4030
60	270	4020
61	274	4015
62	279	4013
63	283	4002
64	287	3994
65	291	3993
66	296	3985
67	300	3980
68	304	3969
69	308	3966
70	313	3960
71	317	3951
72	321	3946
73	325	3940
74	330	3934
75	334	3931
76	338	3925
77	343	3924
78	347	3919
79	352	3913
80	356	3907
81	360	3901
82	364	3895
83	369	3892
84	374	3889
85	378	3889
86	383	3885
87	387	3883
88	392	3878
89	396	3871
90	400	3866
91	405	3862
92	409	3858
93	413	3852
94	418	3848
95	422	3845
96	427	3843
97	432	3839
98	436	3838
99	444	3864
100	451	3876
101	455	3874
102	460	3871
103	464	3866
104	469	3864
105	474	3859
106	478	3854
107	482	3849
108	487	3844
109	491	3841
110	496	3835
111	501	3835
112	505	3829
113	509	3824
114	514	3823
115	519	3820
116	524	3818
117	528	3812
118	533	3807
119	537	3804
120	541	3797
121	546	3794
122	551	3793
123	556	3789
124	560	3782
125	564	3776
126	568	3770
127	573	3765
128	577	3760
129	581	3755
130	586	3754
131	591	3751
132	596	3749
133	601	3745
134	605	3739
135	609	3734
136	614	3730
137	618	3725
138	623	3721
139	627	3716
140	631	3711
141	636	3707
142	640	3698
143	644	3694
144	649	3688
145	653	3684
146	658	3679
147	662	3675
148	666	3670
149	671	3665
150	676	3663
151	680	3659
152	685	3655
153	689	3650
154	694	3645
155	698	3641
156	703	3636
157	707	3632
158	712	3627
159	716	3624
160	721	3618
161	725	3615
162	730	3612
163	735	3608
164	739	3605
165	743	3596
166	748	3593
167	752	3588
168	756	3583
169	761	3578
170	765	3572
171	769	3567
172	774	3563
173	779	3559
174	783	3555
175	787	3549
176	792	3544
177	796	3540
178	801	3536
179	805	3532
180	810	3528
181	814	3522
182	819	3517
183	823	3511
184	827	3507
185	831	3501
186	836	3496
187	840	3491
188	844	3486
189	849	3482
190	853	3476
191	858	3473
192	862	3468
193	867	3463
194	871	3459
195	875	3454
196	880	3449
197	884	3445
198	889	3441
199	893	3436
200	898	3432
201	902	3428
202	907	3423
203	911	3418
204	915	3413
205	920	3409
206	925	3405
207	929	3401
208	934	3398
209	939	3395
210	943	3390
211	948	3386
212	953	3383
213	958	3380
214	962	3376
215	970	3381
216	975	3379
217	979	3375
218	984	3370
219	988	3365
220	993	3361
221	997	3355
222	1001	3350
223	1005	3345
224	1010	3340
225	1014	3336
226	1019	3330
227	1023	3325
228	1027	3320
229	1031	3315
230	1036	3310
231	1040	3305
232	1044	3299
233	1048	3294
234	1053	3289
235	1057	3285
236	1062	3281
237	1066	3276
238	1070	3271
239	1075	3265
240	1079	3261
241	1084	3256
242	1088	3252
243	1093	3247
244	1097	3243
245	1101	3237
246	1105	3232
247	1110	3227
248	1114	3221
249	1118	3217
250	1122	3212
251	1127	3207
252	1132	3204
253	1136	3199
254	1140	3194
255	1145	3190
256	1150	3187
257	1156	3186
258	1160	3182
259	1165	3178
260	1170	3176
261	1175	3173
262	1181	3171
263	1186	3167
264	1208	3209
265	1214	3209
266	1218	3204
267	1223	3199
268	1227	3193
269	1231	3188
270	1236	3183
271	1240	3179
272	1244	3173
273	1249	3168
274	1253	3163
275	1257	3157
276	1261	3152
277	1265	3146
278	1270	3140
279	1274	3135
280	1278	3129
281	1282	3123
282	1286	3118
283	1290	3113
284	1294	3107
285	1298	3101
286	1302	3096
287	1307	3090
288	1311	3085
289	1315	3079
290	1319	3073
291	1323	3069
292	1328	3064
293	1332	3058
294	1336	3054
295	1340	3048
296	1345	3043
297	1349	3038
298	1353	3033
299	1357	3028
300	1362	3023
301	1366	3017
302	1370	3013
303	1375	3008
304	1379	3002
305	1383	2998
306	1388	2993
307	1392	2988
308	1396	2983
309	1401	2978
310	1405	2973
311	1409	2968
312	1413	2963
313	1418	2958
314	1422	2953
315	1426	2948
316	1431	2943
317	1435	2939
318	1440	2934
319	1447	2935
320	1455	2937
321	1459	2933
322	1464	2928
323	1468	2924
324	1473	2919
325	1477	2915
326	1482	2910
327	1486	2905
328	1491	2901
329	1495	2896
330	1500	2891
331	1504	2886
332	1509	2882
333	1513	2877
334	1517	2872
335	1522	2867
336	1526	2862
337	1530	2857
338	1534	2852
339	1539	2847
340	1543	2842
341	1548	2838
342	1552	2833
343	1556	2828
344	1560	2822
345	1565	2818
346	1569	2813
347	1573	2808
348	1578	2804
349	1582	2798
350	1586	2793
351	1591	2788
352	1595	2784
353	1599	2779
354	1604	2775
355	1609	2771
356	1613	2766
357	1618	2762
358	1623	2758
359	1627	2753
360	1632	2749
361	1637	2745
362	1642	2741
363	1646	2736
364	1650	2732
365	1655	2727
366	1659	2722
367	1664	2718
368	1668	2713
369	1673	2709
370	1678	2705
371	1682	2700
372	1687	2695
373	1691	2691
374	1696	2686
375	1700	2681
376	1705	2677
377	1710	2674
378	1715	2669
379	1719	2665
380	1724	2661
381	1728	2656
382	1733	2651
383	1737	2646
384	1741	2641
385	1745	2636
386	1750	2632
387	1754	2627
388	1759	2623
389	1763	2618
390	1768	2613
391	1772	2609
392	1776	2604
393	1781	2599
394	1785	2594
395	1789	2589
396	1794	2585
397	1799	2581
398	1803	2576
399	1807	2571
400	1812	2567
401	1816	2562
402	1820	2557
403	1825	2552
404	1829	2548
405	1834	2543
406	1838	2538
407	1843	2534
408	1847	2530
409	1852	2525
410	1856	2520
411	1860	2515
412	1865	2511
413	1869	2506
414	1874	2502
415	1879	2497
416	1883	2492
417	1887	2488
418	1891	2483
419	1896	2478
420	1900	2474
421	1905	2469
422	1909	2464
423	1914	2460
424	1918	2456
425	1923	2451
426	1927	2446
427	1932	2442
428	1936	2437
429	1941	2433
430	1945	2429
431	1950	2424
432	1954	2419
433	1959	2415
434	1963	2410
435	1968	2406
436	1972	2401
437	1977	2397
438	1981	2392
439	1986	2387
440	1990	2382
441	1994	2377
442	1998	2373
443	2003	2368
444	2007	2363
445	2011	2358
446	2015	2354
447	2020	2349
448	2024	2345
449	2029	2340
450	2033	2335
451	2037	2330
452	2041	2325
453	2046	2321
454	2050	2316
455	2055	2312
456	2059	2307
457	2064	2302
